price,parkir,kamar,kamar_mandi,luas_bangunan,luas_lahan,price_per_m2,log_price,log_price_per_m2,Kitchen set_yes,Taman_yes,Halaman terbuka_yes,Pagar penuh_yes,Garasi_yes,Keamanan 24 jam_yes,kota_Jakarta Pusat,kota_Jakarta Selatan,kota_Jakarta Timur,kota_Jakarta Utara,kecamatan_Cempakaputih,kecamatan_Cengkareng,kecamatan_Cilandak,kecamatan_Cilincing,kecamatan_Cipayung,kecamatan_Ciracas,kecamatan_Durensawit,kecamatan_Gambir,kecamatan_Grogolpetamburan,kecamatan_Jagakarsa,kecamatan_Jatinegara,kecamatan_Joharbaru,kecamatan_Kalideres,kecamatan_Kebayoranbaru,kecamatan_Kebayoranlama,kecamatan_Kebonjeruk,kecamatan_Kelapagading,kecamatan_Kemayoran,kecamatan_Kembangan,kecamatan_Koja,kecamatan_Kramatjati,kecamatan_Makasar,kecamatan_Mampangprapatan,kecamatan_Matraman,kecamatan_Menteng,kecamatan_Pademangan,kecamatan_Palmerah,kecamatan_Pancoran,kecamatan_Pasarminggu,kecamatan_Pasarrebo,kecamatan_Penjaringan,kecamatan_Pesanggrahan,kecamatan_Pulogadung,kecamatan_Sawahbesar,kecamatan_Senen,kecamatan_Setiabudi,kecamatan_Tamansari,kecamatan_Tambora,kecamatan_Tanahabang,kecamatan_Tanjungpriok,kecamatan_Tebet
5800000000.0,3.0,5,4,380.0,430.0,15263157.894736841,22.481123754498785,16.540952501778353,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8000000000.0,4.0,4,3,430.0,300.0,18604651.162790697,22.80270737862625,16.73892216993864,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5800000000.0,2.0,3,2,250.0,195.0,23200000.0,22.481123754498785,16.95966283663654,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5500000000.0,2.0,5,3,239.0,198.0,23012552.30125523,22.428013929184836,16.951550377253326,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7800000000.0,2.0,4,3,386.0,300.0,20207253.886010364,22.777389570641958,16.821552201177127,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
800000000.0,1.0,3,2,88.0,82.0,9090909.090909092,20.5001222856322,16.022785471153995,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1200000000.0,2.0,3,2,90.0,90.0,13333333.333333334,20.905587393740365,16.4057777234101,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5500000000.0,2.0,4,5,230.0,184.0,23913043.47826087,22.428013929184836,16.989934620261643,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3800000000.0,2.0,5,3,121.0,225.0,31404958.67768595,22.058266903678753,17.26247635808201,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
700000000.0,2.0,3,2,55.0,60.0,12727272.727272727,20.36659089300768,16.359257707775207,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1800000000.0,1.0,3,2,120.0,145.0,15000000.0,21.31105250184853,16.523560759066484,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
211000000.0,1.0,2,1,37.0,66.0,5702702.702702703,19.16736869144034,15.556450778796115,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2500000000.0,1.0,5,4,180.0,120.0,13888888.888888888,21.639556568820566,16.446599717930354,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9180000000.0,1.0,2,2,340.0,340.0,27000000.0,22.940293041578812,17.111347423968603,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
500000000.0,2.0,2,2,47.0,60.0,10638297.872340426,20.030118656386467,16.179971054676408,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1900000000.0,1.0,3,2,80.0,113.0,23750000.0,21.365119723118806,16.983093088444924,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
700000000.0,2.0,3,2,55.0,50.0,12727272.727272727,20.36659089300768,16.359257707775207,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5844000000.0,2.0,4,4,235.0,160.0,24868085.106382977,22.488681330834865,17.029095816690706,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8500000000.0,4.0,5,5,525.0,250.0,16190476.19047619,22.863332000442682,16.599933737851057,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1200000000.0,1.0,3,2,90.0,57.0,13333333.333333334,20.905587393740365,16.4057777234101,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
800000000.0,1.0,3,2,130.0,88.0,6153846.153846154,20.5001222856322,15.632587835176619,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
650000000.0,2.0,3,2,55.0,50.0,11818181.818181818,20.292482920853956,16.285149735621484,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1700000000.0,1.0,3,2,90.0,120.0,18888888.888888888,21.253894088008582,16.754084417678317,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1485000000.0,1.0,5,3,125.0,104.0,11880000.0,21.118680609201075,16.290366871898772,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1250000000.0,1.0,3,3,120.0,50.0,10416666.666666666,20.94640938826062,16.158917645478574,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1700000000.0,1.0,2,2,132.0,128.0,12878787.878787879,21.253894088008582,16.371092165422212,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7000000000.0,4.0,5,5,450.0,324.0,15555555.555555556,22.669175986001726,16.559928403237357,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
585000000.0,1.0,2,1,50.0,55.0,11700000.0,20.18712240519613,16.275099399767985,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1380000000.0,1.0,3,2,80.0,70.0,17250000.0,21.045349336115525,16.663322701441643,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5800000000.0,2.0,5,4,400.0,200.0,14500000.0,22.481123754498785,16.489659207390805,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1100000000.0,1.0,5,3,150.0,67.0,7333333.333333333,20.818576016750736,15.80794072265448,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
798000000.0,1.0,3,2,66.0,49.0,12090909.090909092,20.497619155414082,16.30796441338766,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1200000000.0,1.0,2,2,60.0,60.0,20000000.0,20.905587393740365,16.811242831518264,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1000000000.0,1.0,3,2,73.0,77.0,13698630.136986302,20.72326583694641,16.43280639579802,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000000000.0,1.0,3,2,102.0,90.0,19607843.1372549,21.416413017506358,16.791440204222084,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2950000000.0,2.0,3,3,120.0,90.0,24583333.333333332,21.80507100729814,17.017579264516094,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
650000000.0,1.0,3,2,55.0,1.0,11818181.818181818,20.292482920853956,16.285149735621484,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1650000000.0,1.0,2,2,100.0,128.0,16500000.0,21.2240411248589,16.61887093887081,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
